序号,总车次,延时开始时间,延时结束时间,延时线路,共享时间,更新时间
174210847066530,12,16/2/2024 23:47:00,17/2/2024 00:47:00,14号线东风北桥-善各庄上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066531,12,17/2/2024 23:47:00,18/2/2024 00:47:00,14号线东风北桥-善各庄上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066532,12,18/2/2024 23:47:00,19/2/2024 00:47:00,14号线东风北桥-善各庄上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066533,13,15/2/2024 22:58:00,15/2/2024 23:58:00,14号线东风北桥.-丽泽商务区下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066534,13,16/2/2024 22:58:00,16/2/2024 23:58:00,14号线东风北桥.-丽泽商务区下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066535,13,17/2/2024 22:58:00,17/2/2024 23:58:00,14号线东风北桥.-丽泽商务区下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066536,13,18/2/2024 22:58:00,18/2/2024 23:58:00,14号线东风北桥.-丽泽商务区下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066537,12,15/2/2024 23:00:00,16/2/2024 00:00:00,大兴机场线大兴机场站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066538,12,16/2/2024 23:00:00,17/2/2024 00:00:00,大兴机场线大兴机场站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066539,12,17/2/2024 23:00:00,18/2/2024 00:00:00,大兴机场线大兴机场站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066540,12,18/2/2024 23:00:00,19/2/2024 00:00:00,大兴机场线大兴机场站上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066541,12,15/2/2024 22:37:00,15/2/2024 23:37:00,大兴机场线大兴机场站下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066542,12,16/2/2024 22:37:00,16/2/2024 23:37:00,大兴机场线大兴机场站下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066543,12,17/2/2024 22:37:00,17/2/2024 23:37:00,大兴机场线大兴机场站下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066544,12,18/2/2024 22:37:00,18/2/2024 23:37:00,大兴机场线大兴机场站下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066545,12,15/2/2024 22:52:00,15/2/2024 23:52:00,首都机场线上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066546,12,16/2/2024 22:52:00,16/2/2024 23:52:00,首都机场线上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066547,12,17/2/2024 22:52:00,17/2/2024 23:52:00,首都机场线上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066548,12,18/2/2024 22:52:00,18/2/2024 23:52:00,首都机场线上行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066549,12,15/2/2024 23:34:00,16/2/2024 00:34:00,首都机场线下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066550,12,16/2/2024 23:34:00,17/2/2024 00:34:00,首都机场线下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066551,12,17/2/2024 23:34:00,18/2/2024 00:34:00,首都机场线下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066552,12,18/2/2024 23:34:00,19/2/2024 00:34:00,首都机场线下行,2024/2/15 13:20,1/7/2024 02:00:00
174210847066553,12,3/4/2024 23:23:00,4/4/2024 00:23:00,4号线北京南站-安河桥北上行,2024/4/3 15:00,1/7/2024 02:00:00
174210847066554,12,6/4/2024 23:23:00,7/4/2024 00:23:00,4号线北京南站-安河桥北上行,2024/4/3 15:00,1/7/2024 02:00:00
174210847066555,12,6/4/2024 22:59:00,6/4/2024 23:59:00,7号线北京西站-环球度假区站上行,2024/4/3 15:00,1/7/2024 02:00:00
18,230,1/11/2022 08:16:00,1/11/2022 22:16:00,4,2022/11/15 12:16,15/11/2022 12:17:00
1843577083937767425,22,2/10/2024 23:23:00,3/10/2024 00:30:00,4号线北京南站上行,2024/10/7,8/10/2024 17:00:03
1843577083941961729,14,7/10/2024 23:20:00,8/10/2024 00:30:00,2号线北京站上行,2024/10/7,8/10/2024 17:00:03
1843577083941961730,13,7/10/2024 23:20:00,8/10/2024 00:30:00,2号线北京站下行,2024/10/7,8/10/2024 17:00:03
1843577083941961731,13,7/10/2024 23:23:00,8/10/2024 00:30:00,4号线北京南站上行,2024/10/7,8/10/2024 17:00:03
1843577083941961732,14,7/10/2024 23:20:00,8/10/2024 00:30:00,2号线北京站上行,2024/10/7,8/10/2024 17:00:03
1843577083950350338,13,7/10/2024 23:20:00,8/10/2024 00:30:00,2号线北京站下行,2024/10/7,8/10/2024 17:00:03
1843577083950350339,13,7/10/2024 23:23:00,8/10/2024 00:30:00,4号线北京南站上行,2024/10/7,8/10/2024 17:00:03
1843577083950350340,11,7/10/2024 23:14:07,8/10/2024 00:00:00,7号线北京西站上行,2024/10/7,8/10/2024 17:00:03
1843577083950350341,10,7/10/2024 22:58:00,8/10/2024 00:00:00,14号线东风北桥站下行,2024/10/7,8/10/2024 17:00:03
1843577083950350342,6,7/10/2024 23:30:00,8/10/2024 00:00:00,19号线草桥站上行,2024/10/7,8/10/2024 17:00:03
1843577083950350343,6,7/10/2024 23:00:00,8/10/2024 00:00:00,大兴机场线大兴机场站上行,2024/10/7,8/10/2024 17:00:03
19,240,1/11/2022 09:16:00,1/11/2022 22:16:00,4,2022/11/15 12:18,15/11/2022 12:19:00
2,110,14/11/2022 11:16:00,14/11/2022 22:16:00,1,2022/11/15 11:16,15/11/2022 12:16:00
20,250,1/11/2022 10:16:00,1/11/2022 22:16:00,4,2022/11/15 12:20,15/11/2022 12:21:00
21,260,1/11/2022 12:16:00,1/11/2022 22:16:00,5,2022/11/15 20:17,15/11/2022 20:18:00
22,270,1/11/2022 13:16:00,1/11/2022 22:16:00,5,2022/11/15 20:19,15/11/2022 20:20:00
23,280,2/11/2022 06:16:00,2/11/2022 22:16:00,5,2022/11/15 20:21,15/11/2022 20:22:00
24,290,2/11/2022 07:16:00,2/11/2022 22:16:00,5,2022/11/15 20:23,15/11/2022 20:24:00
25,310,3/11/2022 08:16:00,3/11/2022 22:16:00,5,2022/11/15 20:25,15/11/2022 20:26:00
26,320,4/11/2022 09:16:00,4/11/2022 22:16:00,6,2022/11/15 20:27,15/11/2022 20:28:00
27,330,4/11/2022 10:16:00,4/11/2022 22:16:00,6,2022/11/15 20:29,15/11/2022 20:30:00
28,340,5/11/2022 06:16:00,5/11/2022 06:16:00,6,2022/11/15 20:31,15/11/2022 20:32:00
29,360,5/11/2022 07:16:00,5/11/2022 22:16:00,6,2022/11/15 20:33,15/11/2022 20:34:00
3,111,13/11/2022 11:16:00,13/11/2022 22:16:00,1,2022/11/15 7:16,15/11/2022 07:16:00
30,370,5/11/2022 08:16:00,5/11/2022 22:16:00,6,2022/11/15 20:35,15/11/2022 20:36:00
31,380,5/11/2022 09:16:00,5/11/2022 22:16:00,7,2022/11/15 20:37,15/11/2022 20:38:00
32,390,5/11/2022 10:16:00,5/11/2022 22:16:00,7,2022/11/15 20:39,15/11/2022 20:40:00
33,410,6/11/2022 06:16:00,6/11/2022 22:16:00,7,2022/11/15 20:41,15/11/2022 20:42:00
34,420,6/11/2022 07:16:00,6/11/2022 22:16:00,7,2022/11/15 20:43,15/11/2022 20:44:00
35,430,6/11/2022 08:16:00,6/11/2022 22:16:00,7,2022/11/15 20:45,15/11/2022 20:46:00
36,440,6/11/2022 09:16:00,6/11/2022 22:16:00,8,2022/11/15 20:47,15/11/2022 20:48:00
37,460,6/11/2022 10:16:00,6/11/2022 22:16:00,8,2022/11/15 20:49,15/11/2022 20:50:00
38,470,7/11/2022 06:16:00,7/11/2022 22:16:00,8,2022/11/15 20:51,15/11/2022 20:52:00
39,480,7/11/2022 07:16:00,7/11/2022 22:16:00,8,2022/11/15 20:53,15/11/2022 20:54:00
4,200,12/11/2022 11:16:00,12/11/2022 22:16:00,1,2022/11/15 8:16,15/11/2022 08:16:00
40,490,7/11/2022 08:16:00,7/11/2022 22:16:00,8,2022/11/15 20:55,15/11/2022 20:56:00
41,150,1/11/2022 11:16:00,1/11/2022 22:16:00,3,2022/11/15 20:16,15/11/2022 20:16:00
5,300,11/11/2022 11:16:00,11/11/2022 22:16:00,1,2022/11/15 9:16,15/11/2022 09:16:00
6,350,10/11/2022 11:10:00,10/11/2022 22:16:00,2,2022/11/15 10:16,15/11/2022 10:16:00
7,200,9/11/2022 11:16:00,9/11/2022 22:16:00,2,2022/11/15 12:16,15/11/2022 12:16:00
8,100,8/11/2022 11:16:00,8/11/2022 22:16:00,2,2022/11/15 13:16,15/11/2022 13:16:00
9,400,7/11/2022 11:16:00,7/11/2022 22:16:00,2,2022/11/15 14:16,15/11/2022 14:16:00
